2018-01-13 00:00:00	BBCNEWS	39	BBCNEWS_20180113_000000_	IRAN NUCLEAR DEAL
2018-01-13 00:05:00	MSNBCW	19	MSNBCW_20180113_000000_Hardball_With_Chris_Matthews/start/300	SOURCES: TRUMP SAID \"WHY DO WE. NFFI') Mom: HAITIANS, TAKF THFM OUT\"\nTRUMP CALLS AFRICAN NATIONS \"S***HOLE COUNTRIES\"\nGOP SEN. GRAHAM: \"I SAID MY PIECE\". To TleMp FOI I OWING HIS COMMFNTS\nTRUMP\u2019S...
2018-01-13 00:06:00	BBCNEWS	10	BBCNEWS_20180113_000000_BBC_News/start/360	IRAN NUCLEAR DEAL. Donald Trump extends US participation in deal\nIRAN NUCLEAR DEAL. Trump says it is the last time he will waive sanctions\nIRAN NUCLEAR DEAL. Iran agveed to curb nuclear programme...
2018-01-13 00:06:00	CNNW	34	CNNW_20180113_000000_Erin_Burnett_OutFront/start/360	TRUMP TRIES TO SPIN COMMENTS ABOUT \"SHITHOLE COUNTRIES\". . Jeff Zelenv (J\\N Senior White House Correspondent\nSOURCES: TRUMP SPENT THE NIGHT CALLING ALLIES TO SEE. HOW HIS \"SHITHOLE COUNTRIES\u201c REMARK WAS PLAYING OUT\nTRUMP TRIES TO SPIN...
2018-01-13 00:06:00	FOXNEWSW	21	FOXNEWSW_20180113_000000_The_Story_With_Martha_MacCallum/start/360	MOTHER WHOSE CHILD WAS KILLED BY ILLEGAL. IMMIGRANT REACTS TO TRUMP COMMENTS\n'ANGEL MOM' MENDOZA SUPPORTS KATE' S LAW,. nppncpc CANI'TI IApv rrru=< .\u2014
2018-01-13 00:06:00	MSNBCW	12	MSNBCW_20180113_000000_Hardball_With_Chris_Matthews/start/360	DEM SEN. DURBIN CONFIRMS TRUMP. MADF \"s***HnI F COUNTDIFS\" DFMAPKS\nSEN. DURBIN: TRUMP REPEATEDLY SAID. \"HATF-Fll I Fr), VII I: R. RACIST\" THINGS\nDEM SEN. DURBIN CONFIRMS TRUMP. MADF \"S***HOI F...
2018-01-13 00:07:00	BBCNEWS	11	BBCNEWS_20180113_000000_BBC_News/start/420	IRAN NUCLEAR DEAL. . Iran's iorei n minister Javad Zarif criticises announcement. 9\nIRAN NUCLEAR DEAL. Follow-on would likely lead to new resvictions on Iran\nIRAN NUCLEAR DEAL. Zarif: Announcement is 'atiempt to...
2018-01-13 00:07:00	CNNW	32	CNNW_20180113_000000_Erin_Burnett_OutFront/start/420	SENATOR IN THE ROOM FOR MEETING: TRUMP SAYS HE. DIDN'T USE \"VILE AND RACIST\" LANGUAGE. \"IT'S NOT TRUE\"\nSOURCES: TRUMP SPENT THE NIGHT CALLING ALLIES TO SEE. HOW HIS \"SHITHOLE COUNTRIES\u201c REMARK WAS PLAYING OUT
2018-01-13 00:08:00	BBCNEWS	17	BBCNEWS_20180113_000000_BBC_News/start/480	US AMBASSADOR TO PANAMA RESIGNS. John Feeley: 'No longer able to serve President Trump'\nCHURCHES IN CHILE ATTACKED. Catholic churches damaged ahead at papal visit\nTRUMP'S MEDICAL CHECK-UP. Trump's doctor: President is 'in...
2018-01-13 00:08:00	CNNW	44	CNNW_20180113_000000_Erin_Burnett_OutFront/start/480	TRUMP TRIES TO SPIN COMMENTS ABOUT \"SHITHOLE COUNTRIES\". . Derrick Johnson President and CEO, NAACP\nTRUMP TRIES TO SPIN COMMENTS ABOUT \"SHITHOLE COUNTRIES\"\nSENATOR CONFIRMS TRUMP'S REMARK ABOUT \"SHITHOLE COUNTRIES\
2018-01-13 00:08:00	FOXNEWSW	18	FOXNEWSW_20180113_000000_The_Story_With_Martha_MacCallum/start/480	MOTHER WHOSE CHILD WAS KILLED BY ILLEGAL. IMMIGRANT REACTS TO TRUMP COMMENTS\nMOTHER WHOSE CHILD WAS KILLED BY ILLEGAL. IMMIGRANT REACTS TO TRUMP COMMENTS. . W 7:;\n. MOTHER WHOSE CHILD WAS KILLED BY ILLEGAL. ....
2018-01-13 00:08:00	MSNBCW	22	MSNBCW_20180113_000000_Hardball_With_Chris_Matthews/start/480	TRUMP CALLS AFRICAN NATIONS \"S***HOLE COUNTRIES\"\nDEM REP. JOHN LEWIS: \" BEING A RACIST...MUST BE IN HIS DNA\
2018-01-13 00:10:00	BBCNEWS	11	BBCNEWS_20180113_000000_BBC_News/start/600	PAKlSTAN CHILD MURDERS. Case is latest in series O1 child murders in eastern town\nPAKISTAN CHILD MURDERS. Traces of the same DNA found on six of the victims\nPAKISTAN CHILD MURDERS. Protesters say police not taking...
2018-01-13 00:10:00	CNNW	21	CNNW_20180113_000000_Erin_Burnett_OutFront/start/600	SENATOR CONFIRMS TRUMP'S REMARK ABOUT \"SHITHOLE COUNTRIES\"\nSENATOR CONFIRMS TRUMP'S REMARK ABOUT \"SHITHOLE COUNTRIES\". . Derrick Johnson President and CEO, NAACP\nSENATOR CONFIRMS TRUMP'S REMARK...
2018-01-13 00:10:00	MSNBCW	30	MSNBCW_20180113_000000_Hardball_With_Chris_Matthews/start/600	TRUMP\u2019S REMARKS ON \"S***HOLE COUNTRIES\" SPARKS OUTRAGE\nGOP REP. RENACCI: LEr\u2019S NOT JUDGE. THF DDFSIDFNT ON WHAT HF SAYS\nELI STOKOLS I THE WALL STREET JOURNAL\nTRUMP CALLS AFRICAN NATIONS...
2018-01-13 00:11:00	FOXNEWSW	40	FOXNEWSW_20180113_000000_The_Story_With_Martha_MacCallum/start/660	EBATE OVER TRUMP'S IMMIGRATION REFORM PLAN\nEBATE OVER TRUMP'S IMMIGRATION REFORM PLAN I\n:BATE OVER TRUMP S IMMIGRATION REFORM PLAN __;
2018-01-13 00:12:00	BBCNEWS	11	BBCNEWS_20180113_000000_BBC_News/start/720	TRUMP'S 'RACIST' COMMENTS\nFACEBOOK NEWS FEED OVERHAUL. Content from lriends and family will be prioritised
2018-01-13 00:12:00	CNNW	31	CNNW_20180113_000000_Erin_Burnett_OutFront/start/720	TRUMP TRIES TO SPIN COMMENTS ABOUT \"SHITHOLE COUNTRIES\". . Derrick Johnson President and CEO, NAACP\nDEMS PLAN MEASURE TO CENSURE TRUMP OVER \"SHITHOLE COUNTRIES\" REMARKS\nTRUMP TRIES TO SPIN COMMENTS ABOUT \"SHITHOLE COUNTRIES\
2018-01-13 00:12:00	FOXNEWSW	21	FOXNEWSW_20180113_000000_The_Story_With_Martha_MacCallum/start/720	EBATE OVER TRUMP'S IMMIGRATION REFORM PLAN
2018-01-13 00:12:00	MSNBCW	26	MSNBCW_20180113_000000_Hardball_With_Chris_Matthews/start/720	GOP REP. RYAN: TRUMP\u2019S COMMENTS. \"\\IFDY [INFODTUNATF llNHFl DFUI \"\nTRUMP\u2019S REMARKS ON \"S***HOLE COUNTRIES\" SPARKS OUTRAGE\nGOP REP. RYAN: TRUMP'S COMMENTS. \"\\IFDY [INFODTUNATF llNHFI DFUI \
2018-01-13 00:13:00	BBCNEWS	16	BBCNEWS_20180113_000000_BBC_News/start/780	FACEBOOK NEWS FEED OVERHAUL. Company criticised over prominence of public posts\nFACEBOOK NEWS FEED OVERHAUL. Move aiming to promote 'meaningful interaction'\nFACEBOOK NEWS FEED OVERHAUL. Zuckerberg: Trying to boosi...
2018-01-13 00:13:00	MSNBCW	26	MSNBCW_20180113_000000_Hardball_With_Chris_Matthews/start/780	TRUMP\u2019S REMARKS ON \"S***HOLE COUNTRIES\" SPARKS OUTRAGE\nGOP REP. RYAN: TRUMP'S COMMENTS. \"vva [INFODTUNATF llNHFl DFUI \"\nDEM SEN. DURBIN CONFIRMS TRUMP. MADF \"S***HOI F COUNTPIFS\" pFMAsz
2018-01-13 00:14:00	CNNW	4	CNNW_20180113_000000_Erin_Burnett_OutFront/start/840	End 1/13 Limll 2. Exclusmns apply Multipacks count as one.
2018-01-13 00:15:00	BBCNEWS	11	BBCNEWS_20180113_000000_BBC_News/start/900	FACEBOOK NEWS FEED OVERHAUL. Zuckerberg: Trying to boosi meaningful imeractions\nFACEBOOK NEWS FEED OVERHAUL. Mark Zuckerberg made \ufb01xing service his 2O18 aim\nFACEBOOK NEWS FEED OVERHAUL. Zuckerberg says time spent...
2018-01-13 00:15:00	FOXNEWSW	8	FOXNEWSW_20180113_000000_The_Story_With_Martha_MacCallum/start/900	nnumr: 'l'l'D nm {-115 afnmr k\n1-8OO-4-LIBERTY. VISIT A LOCAL OFFICE
2018-01-13 00:15:00	MSNBCW	27	MSNBCW_20180113_000000_Hardball_With_Chris_Matthews/start/900	JUST A FEW OF TRUMP\u2019S RACIALLY-CHARGED REMARKS\nTRUMP\u2019S REMARKS ON \"S***HOLE COUNTRIES\" SPARKS OUTRAGE
2018-01-13 00:16:00	FOXNEWSW	16	FOXNEWSW_20180113_000000_The_Story_With_Martha_MacCallum/start/960	. lipoflavonoid.com/6Odays
2018-01-13 00:16:00	MSNBCW	25	MSNBCW_20180113_000000_Hardball_With_Chris_Matthews/start/960	TRUMP: \"NEVER SAID ANYTHING DEROGATORY ABOUT HAITIANS\"\nSOURCES: TRUMP SAID \"WHY DO WE. NFFI') Mom: HAITIANS, TAKF THFM OUT\
2018-01-13 00:18:00	CNNW	31	CNNW_20180113_000000_Erin_Burnett_OutFront/start/1080	REPUBLICAN LEADERS SILENT OVER TRUMP'S \"SHITHOLE\" SLUR\nPAUL RYAN: TRUMP'S SLUR AGAINST AFRICANS IS \u201cUNFORTUNATE UNHELPFUL\". . Kirsten Powers Columnist, USA Today\nPAUL RYAN: TRUMP'S SLUR...
2018-01-13 00:18:00	FOXNEWSW	15	FOXNEWSW_20180113_000000_The_Story_With_Martha_MacCallum/start/1080	TRY RISK FREE. . TryScClean.corn 8OO\u2014 842- 9893\nWHITE HOUSE LOOKS TO KEEP GOP MAJORITIES. IN HOUSE AND SENATE IN 2O18. . W\nTRY RISK FREE. . TryScCleancom 8OO- 842- 9893
2018-01-13 00:18:00	MSNBCW	15	MSNBCW_20180113_000000_Hardball_With_Chris_Matthews/start/1080	TRUMP GRANTS \"LAST\" IRAN NUCLEAR SANCTIONS WAIVER
2018-01-13 00:19:00	CNNW	24	CNNW_20180113_000000_Erin_Burnett_OutFront/start/1140	PAUL RYAN: TRUMP'S SLUR AGAINST AFRICANS IS \"UNFORTUNATE, UNHELPFUL\"\nPAUL RYAN: TRUMP'S SLUR AGAINST AFRICANS IS \u201cUNFORTUNATE UNHELPFUL\". . April Rvan WH Correspondent, American Urban Radio...
2018-01-13 00:19:00	MSNBCW	15	MSNBCW_20180113_000000_Hardball_With_Chris_Matthews/start/1140	THE WHITE HOUSE
2018-01-13 00:20:00	BBCNEWS	5	BBCNEWS_20180113_000000_BBC_News/start/1200	NIGEL FARAGE MEP. Former UKIP Leader
2018-01-13 00:20:00	FOXNEWSW	43	FOXNEWSW_20180113_000000_The_Story_With_Martha_MacCallum/start/1200	WHITE HOUSE LOOKS TO KEEP GOP MAJORITIES. IN HOUSE AND SENATE IN 2O18. . W
2018-01-13 00:21:00	CNNW	38	CNNW_20180113_000000_Erin_Burnett_OutFront/start/1260	REPUBLICAN LEADERS MOSTLY SILENT OVER TRUMP'S \"SHITHOLE\" SLUR\nREPUBLICAN LEADERS MOSTLY SILENT OVER TRUMP'S \"SHITHOLE\" SLUR. . Pastor Mark Burns Member of Donald Trump's Evangelical Council
2018-01-13 00:21:00	FOXNEWSW	25	FOXNEWSW_20180113_000000_The_Story_With_Martha_MacCallum/start/1260	WHITE HOUSE LOOKS TO KEEP GOP MAJORITIES. IN HOUSE AND SENATE IN 2O18. . W\nII\u00bb NED RYUN | FMR WH STAFFER UNDER PRES GW BUSH. . WHITE HOUSE LOOKS TO KEEP GOP MAJORITIES. IN Hnucl: AND CFNATF IN 9mg 7.:\n)OKING...
2018-01-13 00:22:00	MSNBCW	26	MSNBCW_20180113_000000_Hardball_With_Chris_Matthews/start/1320	WORLD REACTS TO TRUMP'S \"S***HOLE\" REMARKS
2018-01-13 00:23:00	CNNW	33	CNNW_20180113_000000_Erin_Burnett_OutFront/start/1380	NAACP PRESIDENT TO OUTFRONT: WE KNOW TRUMP IS RACIST. . Pastor Mark Burns Member of Donald Trump's Evangelical Council\nNAACP PRESIDENT TO OUTFRONT: WE KNOW TRUMP IS RACIST\nNAACP PRESIDENT TO OUTFRONT: WE KNOW TRUMP IS RACIST. . April Rvan WH...
2018-01-13 00:23:00	FOXNEWSW	22	FOXNEWSW_20180113_000000_The_Story_With_Martha_MacCallum/start/1380	GH STAKES FOR PENNSYLVANIA SPECIAL ELECTION. . W
2018-01-13 00:23:00	MSNBCW	30	MSNBCW_20180113_000000_Hardball_With_Chris_Matthews/start/1380	HAITI AMB: TRUMP'S COMMENTS \"REGREITABLE\". ANI') \"RASFD ON Cl ICHFS AND STFPFOTVDFS\"\nAFRICAN UNION CONDEMNS TRUMP REMARKS,. DFMANDS PFI'DACTION R. ADOI oav\nWORLD REACTS TO TRUMP'S \"S***HOLE\" REMARKS
2018-01-13 00:24:00	CNNW	32	CNNW_20180113_000000_Erin_Burnett_OutFront/start/1440	REPUBLICAN LEADERS MOSTLY SILENT OVER TRUMP'S \"SHITHOLE\" SLUR. . Pastor Mark Burns Member of Donald Trump's Evangelical Council\nREPUBLICAN LEADERS MOSTLY SILENT OVER TRUMP'S \"SHITHOLE\" SLUR. . April Rvan WH Correspondent, American Urban Radio Networks\nREPUBLICAN...
2018-01-13 00:25:00	MSNBCW	23	MSNBCW_20180113_000000_Hardball_With_Chris_Matthews/start/1500	U.N. HUMAN RIGHT'S OFFICE: TRUMP'S \"RACIST\". COMMFNTS \"SHOCKING ANI') SHAMFFUI \"\nMEXICAN PRES: TRUMP\u2019S \"MOUTH IS. THF FOUI FST S***HOI F IN THF wow I)\"\nEL SALVADOR SENDS FORMAL LEITER OF PROTEST CALLING. DFMADKS...
2018-01-13 00:26:00	CNNW	43	CNNW_20180113_000000_Erin_Burnett_OutFront/start/1560	REPUBLICAN LEADERS MOSTLY SILENT OVER TRUMP'S \"SHITHOLE\" SLUR\nREPUBLICAN LEADERS MOSTLY SILENT OVER TRUMP'S \"SHITHOLE\" SLUR. . Pastor Mark Burns Member of Donald Trump's Evangelical Council\nTRUMP...
2018-01-13 00:26:00	MSNBCW	21	MSNBCW_20180113_000000_Hardball_With_Chris_Matthews/start/1560	TRUMP\u2019S REMARKS ON \"S***HOLE COUNTRIES\" SPARKS OUTRAGE\nHAITI AMBASSADOR: IF TRUMP MADE REMARKS, HE SHOULD. ADOI OGI7F NOT JUST To HAITI, Rl IT AMFPICAN DFODI F\nPATRICK GASPARD I...
2018-01-13 00:27:00	CNNW	44	CNNW_20180113_000000_Erin_Burnett_OutFront/start/1620	TRUMP IGNORES QUESTIONS ABOUT BEING A RACIST AFI'ER \"SHITHOLE\u201c SLUR. . April Rvan WH Correspondent, American Urban Radio Networks\nTRUMP IGNORES QUESTIONS ABOUT BEING A RACIST AFfER \"SHITHOLE\" SLUR
2018-01-13 00:27:00	FOXNEWSW	16	FOXNEWSW_20180113_000000_The_Story_With_Martha_MacCallum/start/1620	'T: OBAMA ADMIN TIPPED OFF IRANIAN TERRORIST I\nAsk your doctor or visit Repatha.com
2018-01-13 00:28:00	CNNW	27	CNNW_20180113_000000_Erin_Burnett_OutFront/start/1680	TRUMP IGNORES QUESTIONS ABOUT BEING A RACIST AFI'ER \"SHITHOLE\u201c SLUR. . Pastor Mark Burns Member of Donald Trump's Evangelical Council\nTRUMP IGNORES QUESTIONS ABOUT BEING A RACIST AFI'ER \"SHITHOLE\u201c SLUR. . April Rvan WH Correspondent, American Urban Radio...
2018-01-13 00:28:00	MSNBCW	21	MSNBCW_20180113_000000_Hardball_With_Chris_Matthews/start/1680	TRUMP\u2019S REMARKS ON \"S***HOLE COUNTRIES\" SPARKS OUTRAGE\nTRUMP CALLS AFRICAN NATIONS \"S***HOLE COUNTRIES\
2018-01-13 00:29:00	FOXNEWSW	25	FOXNEWSW_20180113_000000_The_Story_With_Martha_MacCallum/start/1740	> MARIE HARF | FMR STATE DEPT SPOKESPERSON. . RPT: OBAMA ADMIN WARNED IRANIAN TERRORIST. THAT mun DI ANNFn Tn ACQAQCINATF HIM\n3\u00bb RO3 O'NEILL l FMR NAVY SEAL WHO KILLED BIN lADEN. . RPT: OBAMA ADMIN WARNED IRANIAN TERRORIST. THAT mun DI ANNFn Tn AQQACCINATF...
2018-01-13 00:31:00	CNNW	7	CNNW_20180113_000000_Erin_Burnett_OutFront/start/1860	A M SUNDAY. T R O P H '7\u2019 9p. . ET/PT\nTRUMP: MERIT-BASED IMMIGRATION WILL TAKE U.S. TO \"NEXT LEVELll
2018-01-13 00:31:00	FOXNEWSW	34	FOXNEWSW_20180113_000000_The_Story_With_Martha_MacCallum/start/1860	RPT: OBAMA ADMIN WARNED IRANIAN TERRORIST. THAT ISRAEL PLANNED TO ASSASSINATE HIM. . W
2018-01-13 00:32:00	CNNW	45	CNNW_20180113_000000_Erin_Burnett_OutFront/start/1920	TRUMP: MERIT-BASED IMMIGRATION WILL TAKE U.S. TO \"NEXT LEVELll\nTRUMP: MERIT-BASED IMMIGRATION WILL TAKE U.S. TO \"NEXT LEVEL\". . Kevin De Leon (D) California State Senate Leader
2018-01-13 00:33:00	CNNW	29	CNNW_20180113_000000_Erin_Burnett_OutFront/start/1980	TRUMP: MERIT-BASED IMMIGRATION WILL TAKE U.S. TO \"NEXT LEVEL\". . Kevin De Leon (D) California State Senate Leader\nTRUMP PUSHES MERIT-BASED IMMIG. AMID \"SHITHOLE COUNTRIES\" REMARK\nTRUMP: MERIT-BASED IMMIGRATION WILL TAKE U.S. TO \"NEXT LEVEL\". ....
2018-01-13 00:33:00	FOXNEWSW	18	FOXNEWSW_20180113_000000_The_Story_With_Martha_MacCallum/start/1980	TRUMP ISSUES FRESH SANCTIONS AGAINST IRAN,. EIVES ALLIES \"LAST CHANCE\" TO AMEND NUKE DEAL. . W\n> FRED FLEITZ | FORMER CIA ANALYST. . TRUMP EXTENDS IRAN SANCTIONS RELIEF BUT. 1w: Tn IFAVF Nll|(F nFAI IF \"FIX\" ICN'T MAnF anN _\n>...
2018-01-13 00:33:00	MSNBCW	36	MSNBCW_20180113_000000_Hardball_With_Chris_Matthews/start/1980	TRUMP: RACE RELATIONS WERE PRETI'Y BAD UNDER OBAMA
2018-01-13 00:35:00	CNNW	32	CNNW_20180113_000000_Erin_Burnett_OutFront/start/2100	TRUMP PUSHES MERIT-BASED IMMIG. AMID \"SHITHOLE COUNTRIES\" REMARK\nTRUMP PUSHES MERIT-BASED IMMIG. AMID \"SHITHOLE COUNTRIES\" REMARK. . Stephen Moore Fmr. Senior Economic Adviser, 2O16 Trump Campaign
2018-01-13 00:35:00	FOXNEWSW	14	FOXNEWSW_20180113_000000_The_Story_With_Martha_MacCallum/start/2100	mm\u2014 _ _- X. . \\ r'numn I\u2019TD nu +hn g+nmr \\
2018-01-13 00:35:00	MSNBCW	20	MSNBCW_20180113_000000_Hardball_With_Chris_Matthews/start/2100	TRUMP (INCORRECT LY) BLAMES LONDON. TDID CANCFI I ATION ON DRAMA\nTRUMP TRIES TO DIVERT ATrENTION FROM. RACIST DFMADKS RY A1TACKING DRAMA\nLONDON MAYOR: TRUMP \"FINALLY GOT. THF MFSSAGF\" HF'S NOT WFI...
2018-01-13 00:36:00	MSNBCW	54	MSNBCW_20180113_000000_Hardball_With_Chris_Matthews/start/2160	TRUMP TRIES TO DIVERT ATrENTION FROM. RACIST DFMADKS RY A1TACKING DRAMA\nLONDON MAYOR: TRUMP \"FINALLY GOT. THF MFSSAGF\" HF\u2019S NOT WFI COMF
2018-01-13 00:37:00	CNNW	32	CNNW_20180113_000000_Erin_Burnett_OutFront/start/2220	TRUMP: MERIT-BASED IMMIGRATION WILL TAKE U.S. TO \"NEXT LEVEL\". . Kevin De Leon (D) California State Senate Leader\nTRUMP PUSHES MERIT-BASED IMMIG. AMID \"SHITHOLE COUNTRIES\" REMARK. . Kevin De Leon (D) California State Senate Leader\nTRUMP PUSHES...
2018-01-13 00:39:00	CNNW	33	CNNW_20180113_000000_Erin_Burnett_OutFront/start/2340	WORLDWIDE OUTRAGE GROWS AFI'ER TRUMP SAID HE DOESN'T WANT. PEOPLE FROM CERTAIN \"SHITHOLE COUNTRIES\" COMING TO U.S.\nWORLDWIDE OUTRAGE GROWS AFI'ER TRUMP SAID HE DOESN'T WANT. PEOPLE FROM CERTAIN \"SHITHOLE COUNTRIES\" COMING TO US.
2018-01-13 00:40:00	FOXNEWSW	31	FOXNEWSW_20180113_000000_The_Story_With_Martha_MacCallum/start/2400	I9-YEAR-OLD MICHAEL DENG KILLED IN 2O13. AFTER BRUTAL HAZING INCIDENT GONE WRONG. . W\nEX-FRAT MEMBERS GET JAIL |N PLEDGE'S DEATH E. . n\nPROSECUTORS GO AFTER FRATERNITY MEMBERS. & FRATERNITY ITSELF IN 2O13 HAZING DEATH. ....
2018-01-13 00:40:00	MSNBCW	4	MSNBCW_20180113_000000_Hardball_With_Chris_Matthews/start/2400	Available bv prescription onlv. Results mav varv.\nOnce your asthma IS well controlled,
2018-01-13 00:41:00	FOXNEWSW	34	FOXNEWSW_20180113_000000_The_Story_With_Martha_MacCallum/start/2460	PROSECUTORS GO AFTER FRATERNITY MEMBERS. & FRATERNITY ITSELF IN 2O13 HAZING DEATH. . . . n\nFRATERNITY MEMBERS DIDN'T CALL 9] 'l. AFTER DENG FELL UNCONSCIOUS\nEX-FRAT MEMBERS GET JAIL |N PLEDGE'S DEATH I
2018-01-13 00:42:00	CNNW	4	CNNW_20180113_000000_Erin_Burnett_OutFront/start/2520	6g\u201d 1-855-OTEZLA-1 | o
2018-01-13 00:43:00	FOXNEWSW	10	FOXNEWSW_20180113_000000_The_Story_With_Martha_MacCallum/start/2580	TRAGIC HAZING DEATH OF T9-YEAR-OLD TIMOTHY PIAZZA. )W IN THE HANDS OF PENNSYLVANIA'S ATTORNEY GENERAL. . W
2018-01-13 00:43:00	MSNBCW	14	MSNBCW_20180113_000000_Hardball_With_Chris_Matthews/start/2580	TRUMP FLIP-FLOPS ON IMMIGRATION REFORM\nTRUMP CALLS AFRICAN NATIONS \"S***HOLE COUNTRIES\
2018-01-13 00:44:00	CNNW	32	CNNW_20180113_000000_Erin_Burnett_OutFront/start/2640	WORLD REACTS TO TRUMP'S \"SHITHOLE COUNTRIES\" REMARKS\nWORLD REACTS TO TRUMP'S \"SHITHOLE COUNTRIES\" REMARKS. . Ricardo Rossello Governor of Puer\u2019to Rico\nWORLD REACTS TO TRUMP'S \"SHITHOLE...
2018-01-13 00:45:00	CNNW	41	CNNW_20180113_000000_Erin_Burnett_OutFront/start/2700	WORLD REACTS TO TRUMP'S \"SHITHOLE COUNTRIES\" REMARKS. . . . Amb. Nicholas Burns Former US. Ambassador to NATO\nWORLD REACTS TO TRUMP'S \"SHITHOLE COUNTRIES\" REMARKS\nWORLD REACTS TO TRUMP'S \"SHITHOLE COUNTRIES\" REMARKS. . Amb. Nicholas Burns Fmr....
2018-01-13 00:45:00	FOXNEWSW	8	FOXNEWSW_20180113_000000_The_Story_With_Martha_MacCallum/start/2700	SouthBeachForMen.com. \u2014 - _ \u2014
2018-01-13 00:45:00	MSNBCW	21	MSNBCW_20180113_000000_Hardball_With_Chris_Matthews/start/2700	TRUMP'S EFFORTS TO PROVE FITNESS FOR OFFICE. RACKFIDF AFI'FD \"S***HOI F COIJNTDIFS\" DFMADK\nTRUMP'S EFFORTS TO PROVE FITNESS FOR OFFICE. RACKFIDF \u201c=er \"S***HOI F COIJNTDIFS\" DFMADK\nTRUMP'S REMARKS ON \"S***HOLE COUNTRIES\"...
2018-01-13 00:46:00	CNNW	35	CNNW_20180113_000000_Erin_Burnett_OutFront/start/2760	TRUMP'S \"SHITHOLE\" COMMENT CRITICIZED AT HOME AND ABROAD. . Amb. Nicholas Burns Former US. Ambassador to NATO\nTRUMP'S \"SHITHOLE\" COMMENT CRITICIZED AT HOME AND ABROAD
2018-01-13 00:47:00	FOXNEWSW	16	FOXNEWSW_20180113_000000_The_Story_With_Martha_MacCallum/start/2820	DNYA HARDING BACK IN THE SPOTLIGHT
2018-01-13 00:48:00	CNNW	56	CNNW_20180113_000000_Erin_Burnett_OutFront/start/2880	U.N. SPOKESMAN: TRUMP'S REMARKS \"SHOCKING AND SHAMEFUL\". . . . Amb. Nicholas Burns Former US. Ambassador to NATO\nU.N. SPOKESMAN: TRUMP'S REMARKS \"SHOCKING AND SHAMEFUL\
2018-01-13 00:48:00	MSNBCW	47	MSNBCW_20180113_000000_Hardball_With_Chris_Matthews/start/2880	MCAULIFFE: IF TRUMP TRIED LOOMING OVER ME LIKE. THAT \"vnu'n HAVF TO DICK HIM up on: THF Fl non\"\nMCAULIFFE: IF TRUMP TRIED LOOMING OVER ME LIKE. THAT \"vnu'n HAVF TO DICK HIM up OFF THF Fl non\"\nGINGER GIBSON l was
