2018-01-11 00:00:00	BBCNEWS	26	BBCNEWS_20180111_000000_	SEARCH FOR MH37O RESUMES\nCALIFORNIA MUDSLIDES
2018-01-11 00:07:00	BBCNEWS	8	BBCNEWS_20180111_000000_Newsday/start/420	FRENCH LETTER FROM DENEUVE. Men should be \"tree to hit on\" women\nNEWSDAV
2018-01-11 00:07:00	FOXNEWSW	62	FOXNEWSW_20180111_000000_The_Story_With_Martha_MacCallum/start/420	NE-ON-ONE WITH VICE PRESIDENT PENCE I
2018-01-11 00:07:00	MSNBCW	42	MSNBCW_20180111_000000_Hardball_With_Chris_Matthews/start/420	DEMS: TRUMP'S REFUSAL TO RESPOND TO. RUSSIAN INTFPFFPFNCF DUTI'ING US, AT DISK\nDEMS WARN U.S. STILL UNPREPARED FOR RUSSIAN ELECTION MEDDLING
2018-01-11 00:08:00	MSNBCW	38	MSNBCW_20180111_000000_Hardball_With_Chris_Matthews/start/480	TRUMP FACING FORMIDABLE OPPONENT IN SEN. FEINSTEIN\nDEMS: TRUMP'S REFUSAL TO RESPOND TO. RUSSIAN INTFPFFPFNCF DUTI'ING us, AT DISK\nDEMS: TRUMP'S REFUSAL To RESPOND TO. RUSSIAN...
2018-01-11 00:09:00	BBCNEWS	11	BBCNEWS_20180111_000000_Newsday/start/540	NEWSDAV Hong Kong O8:O9\nNEWSDAV
2018-01-11 00:09:00	CNNW	35	CNNW_20180111_000000_Erin_Burnett_OutFront/start/540	TRUMP WON'T COMMIT TO INTERVIEW WITH MUELLER; TWEETS ABOUT. RUSSIA PROBE, SAYING \"REPUBLICANS SHOULD FINALLY TAKE CONTROL!\"\nTRUMP DENIES \"COLLUSION\" WITH RUSSIA 8 TIMES IN 95 SECONDS\nTRUMP WON'T COMMIT TO INTERVIEW WITH MUELLER; TWEETS ABOUT. RUSSIA PROBE,...
2018-01-11 00:09:00	FOXNEWSW	45	FOXNEWSW_20180111_000000_The_Story_With_Martha_MacCallum/start/540	PENCE: PRESIDENT TRUMP BELIEVES AN AGREEMENT ON WALL. AND VISA LO'ITERY PROGRAM IS \"ESSENTIAL\"\nNE-ON-ONE WITH VICE PRESIDENT PENCE I
2018-01-11 00:09:00	MSNBCW	53	MSNBCW_20180111_000000_Hardball_With_Chris_Matthews/start/540	FEINSTEIN: THE AMERICAN PEOPLE HAVE A. RIGHT TO KNOW WHAT'S IN THAT TRANSCRIPT\nSEN. DIANNE FEINSTEIN I (D-CA)JUDICIARY COMMITTEE\nHEIDI PRZYBYLA I USA TODAY
2018-01-11 00:10:00	FOXNEWSW	62	FOXNEWSW_20180111_000000_The_Story_With_Martha_MacCallum/start/600	NE-ON-ONE WITH VICE PRESIDENT PENCE I
2018-01-11 00:11:00	FOXNEWSW	31	FOXNEWSW_20180111_000000_The_Story_With_Martha_MacCallum/start/660	NE-ON-ONE WITH VICE PRESIDENT PENCE I\nVP PENCE: WE WILL GET SPENDING BILL DONE. IN TIME FOR THE AMERICAN PEOPLE
2018-01-11 00:11:00	MSNBCW	31	MSNBCW_20180111_000000_Hardball_With_Chris_Matthews/start/660	TOP SENATE DEMOCRAT DEFIES GOP, RELEASES. KFV TFSTIMONV ON TRUMP-RUSSIA DOSSIFP\nSEN. FEINSTEIN: \"PEOPLE ARE ENTITLED TO KNOW. WHAT WAS SAID\" IN TRUMP-RUSSIA DOSSIFD\nJASON JOHNSON | THE RooT
2018-01-11 00:13:00	MSNBCW	50	MSNBCW_20180111_000000_Hardball_With_Chris_Matthews/start/780	TRUMP: \"REPUBLICANS SHOULD FINALLY. TAKF CONTDOI \" O|: RUSSIA INVFSTIGATION\nSEN. CHRIS COONS I (D-DE)JUD|CIARY COMMITTEE
2018-01-11 00:15:00	BBCNEWS	21	BBCNEWS_20180111_000000_Newsday/start/900	CALIFORNIA MUDSLIDES
2018-01-11 00:15:00	MSNBCW	37	MSNBCW_20180111_000000_Hardball_With_Chris_Matthews/start/900	DEMS WARN U.S. STILL UNPREPARED FOR RUSSIAN ELECTION MEDDLING\nTRUMP: \"REPUBLICANS SHOULD FINALLY. TAKF CONTDOI \" OF RUSSIA INVFSTIGATION\nTRUMP CALLS RUSSIA INVESTIGATION \"SINGLE. GDFATFST WITCH...
2018-01-11 00:16:00	FOXNEWSW	19	FOXNEWSW_20180111_000000_The_Story_With_Martha_MacCallum/start/960	ET\u201d 1-8OO-851-8O49\nEm 1-8OO-851-8O49\nEm 1-3OO-351-3O49
2018-01-11 00:16:00	MSNBCW	17	MSNBCW_20180111_000000_Hardball_With_Chris_Matthews/start/960	TRUMP CALLS RUSSIA INVESTIGATION \"SINGLE. GDFATFST WITCH HUNT IN AMFDICAN HISTORY\"\nJASON JOHNSON | THE RooT\nDEMS: TRUMP'S REFUSAL TO RESPOND TO. RUSSIAN INTFPFFPFNCF DUTI'ING US, AT DISK
2018-01-11 00:17:00	CNNW	62	CNNW_20180111_000000_Erin_Burnett_OutFront/start/1020	TRUMP BLASTS DEM SENATOR FOR RELEASING FUSION GPS INTERVIEW. ON DOSSIER; FALSELY ACCUSES HER OF POSSIBLY BREAKING THE LAW
2018-01-11 00:18:00	CNNW	38	CNNW_20180111_000000_Erin_Burnett_OutFront/start/1080	TRUMP SLAMS DEM FOR RELEASE OF FUSION GPS INTERVIEW. . Rep. Matt Gaetz (R) Judiciary Committee\nTRUMP BLASTS DEM SENATOR FOR RELEASING FUSION GPS INTERVIEW. ON DOSSIER; FALSELY ACCUSES HER OF POSSIBLY BREAKING THE LAW
2018-01-11 00:19:00	BBCNEWS	6	BBCNEWS_20180111_000000_Newsday/start/1140	CHINA CHURCH DESTRUCTION. Major building dynamited in Linfen, Shanxi\nCHINA CHURCH DESTRUCTION. Golden Lampstand Baptist demolished on 9 Jan
2018-01-11 00:19:00	CNNW	35	CNNW_20180111_000000_Erin_Burnett_OutFront/start/1140	TRUMP BLASTS DEM SENATOR FOR RELEASING FUSION GPS INTERVIEW. ON DOSSIER; FALSELY ACCUSES HER OF POSSIBLY BREAKING THE LAW\nTRUMP SLAMS DEM FOR RELEASE OF FUSION GPS INTERVIEW. . Rep. Matt Gaetz (R) Judiciary Committee
2018-01-11 00:19:00	FOXNEWSW	22	FOXNEWSW_20180111_000000_The_Story_With_Martha_MacCallum/start/1140	RAHAM: TRUMP'S JOB IS TO \"SOLVE PROBLEMS\"\nRAHAM: \"NEED A WALL\" IN IMMIGRATION BILL\nFLASHBACK: TRUMP SLAPS JEB BUSH DURING 2O16. FOR CALLING IMMIGRATION \"AN ACT OF LOVE\". . m;
2018-01-11 00:20:00	BBCNEWS	11	BBCNEWS_20180111_000000_Newsday/start/1200	CHINA CHURCH DESTRUCTION. Videos of incident sent to BBC World News\nCHINA CHURCH DESTRUCTION. Eyewitness tells BBC he saw hundreds of police at site\nCHINA CHURCH DESTRUCTION. Authorities sent in...
2018-01-11 00:21:00	CNNW	32	CNNW_20180111_000000_Erin_Burnett_OutFront/start/1260	TRUMP SLAMS DEM FOR RELEASE OF FUSION GPS INTERVIEW. . Rep. Matt Gaetz (R) Judiciary Committee\nGOP REPEATEDLY BLAMES DEMS FOR TRUMP-RUSSIA DOSSIER. EVEN THOUGH FIRM WAS FIRST HIRED BY CONSERVATIVE WEBSITE\nTRUMP SLAMS DEM FOR...
2018-01-11 00:21:00	FOXNEWSW	20	FOXNEWSW_20180111_000000_The_Story_With_Martha_MacCallum/start/1260	'HITE HOUSE PUSHES MASSIVE IMMIGRATION FIX\nlAHAM: IF IMMIGRATION \"DOESN'T HAPPEN IN JANUARY,. I'M NOT SO SURE IT'S EVER GOING TO HAPPENII
2018-01-11 00:22:00	BBCNEWS	11	BBCNEWS_20180111_000000_Newsday/start/1320	CHINA CHURCH DESTRUCTION. Major building dynamited in Linfen, Shanxi\nCHINA CHURCH DESTRUCTION. All religious groups must be registered With authorities\nCHINA CHURCH DESTRUCTION. New religious regulations...
2018-01-11 00:22:00	CNNW	41	CNNW_20180111_000000_Erin_Burnett_OutFront/start/1320	GOP REPEATEDLY BLAMES DEMS FOR TRUMP-RUSSIA DOSSIER. EVEN THOUGH FIRM WAS FIRST HIRED BY CONSERVATIVE WEBSITE\nTRUMP SLAMS DEM FOR RELEASE OF FUSION GPS INTERVIEW. . Rep. Matt Gaetz (R) Judiciary Committee
2018-01-11 00:22:00	MSNBCW	25	MSNBCW_20180111_000000_Hardball_With_Chris_Matthews/start/1320	\"H J DALI.\nWOLFF: TRUMP SEEKS ADVICE ONLY FROM HIMSELF
2018-01-11 00:23:00	FOXNEWSW	11	FOXNEWSW_20180111_000000_The_Story_With_Martha_MacCallum/start/1380	TRUMP HITS \"SNEAKY DIANNE FEINSTEIN\". OVER RELEASED FUSION GPS TESTIMONY _-\nAN DERSHOWITZ ON LEGALITY OF TESTIMONY LEAK\nTRUMP ALLEGES FEINSTEIN BROKE LAW OVER. RELEASE OF FUSION GPS TRANSCRIPT. . W 7:;
2018-01-11 00:23:00	MSNBCW	34	MSNBCW_20180111_000000_Hardball_With_Chris_Matthews/start/1380	WOLFF: TRUMP SEEKS ADVICE ONLY FROM HIMSELF\nWHITE HOUSE IN CHAOS
2018-01-11 00:24:00	MSNBCW	56	MSNBCW_20180111_000000_Hardball_With_Chris_Matthews/start/1440	WHITE HOUSE IN CHAOS\nLEON PANETrA I FMR. W.H. CHIEF OF STAFF
2018-01-11 00:25:00	CNNW	50	CNNW_20180111_000000_Erin_Burnett_OutFront/start/1500	TRUMP SLAMS DEM FOR RELEASE OF FUSION GPS INTERVIEW. . Rep. Matt Gaetz (R) Judiciary Committee\nGOP REPEATEDLY BLAMES DEMS FOR TRUMP-RUSSIA DOSSIER. EVEN THOUGH FIRM WAS FIRST HIRED BY CONSERVATIVE WEBSITE
2018-01-11 00:25:00	FOXNEWSW	14	FOXNEWSW_20180111_000000_The_Story_With_Martha_MacCallum/start/1500	TRUMP: \"WE AREGOING TO TAKE STRONG. Innk AT m In ml INTDY'Q mm IAWQ\" .\u2014\nUMP'S LAWYER FILES DEFAMATION LAWSUIT AGAINST. BUZZFEED FOR PUBLISHING TRUMP-RUSSIA DOSSIER. . m 1:;\nTRUMP: \"WE ARE GOING TO TAKE A...
2018-01-11 00:25:00	MSNBCW	43	MSNBCW_20180111_000000_Hardball_With_Chris_Matthews/start/1500	WHITE HOUSE IN CHAOS\nAXIOS: PRES. TRUMP DEMANDING MORE. \"FXFCUTIVF TIMF\" (FOP TV R. TWITrFm
2018-01-11 00:26:00	BBCNEWS	5	BBCNEWS_20180111_002600_	SUSAN POWELL
2018-01-11 00:27:00	CNNW	49	CNNW_20180111_000000_Erin_Burnett_OutFront/start/1620	TRUMP SLAMS DEM FOR RELEASE OF FUSION GPS INTERVIEW. . Rep. Matt Gaetz (R) Judiciary Committee\nTRUMP SLAMS DEM FOR RELEASE OF FUSION GPS INTERVIEW
2018-01-11 00:27:00	MSNBCW	34	MSNBCW_20180111_000000_Hardball_With_Chris_Matthews/start/1620	AXIOS: TRUMP STARTS WORK AROUND 11 AM.\nTRUMP: I DON'T GET TO WATCH A LOT OF TV \"BECAUSE OF DOCUMENTS\"\nAXIOS: PRES. TRUMP DEMANDING MORE. \"FXFCUTIVF TIMF\" (FOP TV R. TWITrFm
2018-01-11 00:28:00	CNNW	52	CNNW_20180111_000000_Erin_Burnett_OutFront/start/1680	TRUMP SLAMS DEM FOR RELEASE OF FUSION GPS INTERVIEW\nTRUMP SLAMS DEM FOR RELEASE OF FUSION GPS INTERVIEW. . Rep. Matt Gaetz (R) Judiciary Committee
2018-01-11 00:28:00	MSNBCW	17	MSNBCW_20180111_000000_Hardball_With_Chris_Matthews/start/1680	WSJ: PENTAGON CONSIDERING \"BLOODY. NOSF\" STDIKF AGAINST NORTH KODFA\nTRUMP: I DON'T GET TO WATCH A LOT OF TV \"BECAUSE OF DOCUMENTS\"\nLEON PANETrA I FORMER CIA DIRECTOR
2018-01-11 00:30:00	FOXNEWSW	39	FOXNEWSW_20180111_000000_The_Story_With_Martha_MacCallum/start/1800	'T: N KOREA TO SEND CHEER SQUAD TO OLYMPICS I
2018-01-11 00:30:00	MSNBCW	21	MSNBCW_20180111_000000_Hardball_With_Chris_Matthews/start/1800	WH: S. KOREA LEADER, TRUMP AGREED \"MAXIMUM. DDFSSUDF CAMPAIGN\" NFFDFI') AGAINST NORTH\nWSJ: PENTAGON CONSIDERING \"BLOODY. NOSF\" STDIKF AGAINST NORTH KODFA\nTRUMP BRAGS ABOUT HIS BIG \"NUCLEAR BUTTON\"\nWH: S. KOREA LEADER,...
2018-01-11 00:31:00	MSNBCW	38	MSNBCW_20180111_000000_Hardball_With_Chris_Matthews/start/1860	WH: S. KOREA LEADER, TRUMP AGREED \"MAXIMUM. DDFSSUDF CAMPAIGN\" NFFDFI') AGAINST NORTH\nTRUMP: \"DISGRACE\" FOR \"SNEAKY\" SEN. FEINSTEIN. To an FASF TRUMP-RUSSIA DOSSIFD TFSTIMONY\nTRUMP: \"DISGRACE\" FOR \"SNEAKY\" SEN....
2018-01-11 00:32:00	FOXNEWSW	21	FOXNEWSW_20180111_000000_The_Story_With_Martha_MacCallum/start/1920	ENCE: THE ERA OF STRATEGIC PATIENCE IS OVER I\nENCE TO TRAVEL TO MIDEAST THIS MONTH I\nPENCE: WILL CONTINUE TO PUT PRESSURE. ON NORTH KOREA REGIME\nENCE: WE STAND WITH S KOREA &...
2018-01-11 00:33:00	CNNW	40	CNNW_20180111_000000_Erin_Burnett_OutFront/start/1980	PORK: IS IT THE NEW \"RED MEAT\" IN WASHINGTON?\nPORK: IS IT THE NEW \"RED MEAT\" IN WASHINGTON?. . Stephen Moore Fmr. Senior Economic Adviser, 2O16 Trump Campaign
2018-01-11 00:34:00	CNNW	46	CNNW_20180111_000000_Erin_Burnett_OutFront/start/2040	PORK: IS IT THE NEW \"RED MEAT\" IN WASHINGTON?. . Stephen Moore Fmr. Senior Economic Adviser, 2O16 Trump Campaign\nIS PORK MAKING A COMEBACK? TRUMP IGNITING DEBATE ON EARMARKS\nPORK: IS IT THE NEW \"RED MEAT\" IN WASHINGTON?
2018-01-11 00:34:00	FOXNEWSW	39	FOXNEWSW_20180111_000000_The_Story_With_Martha_MacCallum/start/2040	ENCE ON MOVING U.S. EMBASSY TO JERUSALEM I\nVP: PRESIDENT RECOMMI'ITED THE U.S. TO. ENGAGEMENT IN THE PEACE PROCESS
2018-01-11 00:35:00	FOXNEWSW	51	FOXNEWSW_20180111_000000_The_Story_With_Martha_MacCallum/start/2100	NCE ON UPCOMING MEETING WITH EGYPT'S LEADER I\nENCE ON MOVING U.S. EMBASSY TO JERUSALEM I
2018-01-11 00:35:00	MSNBCW	7	MSNBCW_20180111_000000_Hardball_With_Chris_Matthews/start/2100	/. . nr\ufb01mn+iwwlinn
2018-01-11 00:36:00	CNNW	48	CNNW_20180111_000000_Erin_Burnett_OutFront/start/2160	PORK: IT'S WHAT'S FOR DINNER...IN WASHINGTON. . . . Robert Reich Former US. Labor Secretary under Pres. Bill Clinton\nPORK: IT'S WHAT'S FOR DINNER...IN WASHINGTON
2018-01-11 00:36:00	FOXNEWSW	23	FOXNEWSW_20180111_000000_The_Story_With_Martha_MacCallum/start/2160	PENCE ON FOREIGN AID\nPENCE ON VIOLENCE AGAINST. CHRISTIANS IN THE ARAB WORLD\nNCE ON UPCOMING MEETING WITH EGYPT'S LEADER I
2018-01-11 00:36:00	MSNBCW	10	MSNBCW_20180111_000000_Hardball_With_Chris_Matthews/start/2160	TRUMP BACKS AWAY FROM HEATED. CAMPAIGN DHFI'ODIC ON IMMIGRATION
2018-01-11 00:38:00	CNNW	46	CNNW_20180111_000000_Erin_Burnett_OutFront/start/2280	REICH: TRUMP MAY BE DUMB HAS PLENTY OF EMOTIONAL INTELLIGENCE. . Robert Reich Former US. Labor Secretary under Pres. Bill Clinton\nREICH: TRUMP MAY BE DUMB, HAS PLENTY OF EMOTIONAL INTELLIGENCE\nPORK: IT'S WHAT'S FOR DINNER...IN WASHINGTON
2018-01-11 00:38:00	FOXNEWSW	51	FOXNEWSW_20180111_000000_The_Story_With_Martha_MacCallum/start/2280	ENCE ON PROGRESS MADE BY TRUMP ADMIN I
2018-01-11 00:38:00	MSNBCW	17	MSNBCW_20180111_000000_Hardball_With_Chris_Matthews/start/2280	COULTER BLASTS TRUMP\u2019S \"DACA LOVEFEST\" WITH DEMS
2018-01-11 00:39:00	CNNW	36	CNNW_20180111_000000_Erin_Burnett_OutFront/start/2340	REICH: TRUMP MAY BE DUMB HAS PLENTY OF EMOTIONAL INTELLIGENCE. . Stephen Moore Fmr. Senior Economic Adviser, 2O16 Trump Campaign\nREICH: TRUMP MAY BE DUMB, HAS PLENTY OF EMOTIONAL INTELLIGENCE. . Robert Reich Former US. Labor Secretary under Pres. Bill...
2018-01-11 00:40:00	FOXNEWSW	3	FOXNEWSW_20180111_000000_The_Story_With_Martha_MacCallum/start/2400	Otezla'
2018-01-11 00:40:00	MSNBCW	8	MSNBCW_20180111_000000_Hardball_With_Chris_Matthews/start/2400	h ForadultswithlBSD.
2018-01-11 00:43:00	MSNBCW	52	MSNBCW_20180111_000000_Hardball_With_Chris_Matthews/start/2580	TRUMP TOUTS \"MONUMENTAL ACHIEVEMENTS\". O|: HIS FIRST YEAR IN OFFICF\nTRUMP TOUTS \"MONUMENTAL ACHIEVEMENTS\". OF HIS FIRST YEAR IN OFFICF\nFMR. REP. DONNA EDWARDS ' (D) MARYLAND
2018-01-11 00:44:00	CNNW	43	CNNW_20180111_000000_Erin_Burnett_OutFront/start/2640	TRUMP: ANY IMMIGRATION DEAL MUST INCLUDE A BORDER WALL\nTRUMP: ANY IMMIGRATION DEAL MUST INCLUDE A BORDER WALL. . Rep. John Garamendi (D) Armed Services Committee
2018-01-11 00:44:00	FOXNEWSW	18	FOXNEWSW_20180111_000000_The_Story_With_Martha_MacCallum/start/2640	{OUP OF FRENCH WOMEN, INCLUDING CATHERINE DENEUVE,. DENOUNCE #METOO MOVEMENT |N OPEN LETI'ER. . W\n{ENCH FEMINISTS DENOUNCE #METOO
2018-01-11 00:44:00	MSNBCW	23	MSNBCW_20180111_000000_Hardball_With_Chris_Matthews/start/2640	TRUMP TOUTS \"MONUMENTAL ACHIEVEMENTS\". O|: HIS FIRST YEAR IN OFFICF\nTRUMP PRAISES HIS OWN WORK BRINGING. nFMs, GOD TOGI-'I'HFP TO DISCUSS IMMIGRATION\nTRUMP PRAISES HIS OWN WORK BRINGING. nFMs, GOD...
2018-01-11 00:46:00	CNNW	30	CNNW_20180111_000000_Erin_Burnett_OutFront/start/2760	WHITE HOUSE MAKES CORRECTION IN TRANSCRIPT AFI'ER. LEAVING OUT KEY WORDS FROM TRUMP'S REMARKS\nTRUMP: ANY IMMIGRATION DEAL MUST INCLUDE A BORDER WALL\nTRUMP: ANY IMMIGRATION DEAL MUST INCLUDE A BORDER WALL. . . . Sen. Diane...
2018-01-11 00:46:00	FOXNEWSW	30	FOXNEWSW_20180111_000000_The_Story_With_Martha_MacCallum/start/2760	CLASSIC TV, FILMS UNDER FRESH SCRUTINY. IN WAKE OF #METOO MOVEMENT. . 'l'hn\ufb02tnww\ufb02f'nvn aura nnm \\\nCLASSIC TV, FILMS UNDER FRESH SCRUTINY. IN WAKE OF #METOO MOVEMENT. . W\nMETOO MOVEMENT FACES NEW SCRUTINY. . r .
2018-01-11 00:46:00	MSNBCW	28	MSNBCW_20180111_000000_Hardball_With_Chris_Matthews/start/2760	TRUMP BACKS AWAY FROM HEATED. CAMPAIGN DHFI'ODIC ON IMMIGRATION\nTRUMP RISKS ALIENATING BASE WITH. sorer STANCF ON IMMIGRATION DFFODM\nTRUMP BACKS AWAY FROM HEATED. CAMPAIGN PHFI'ODIC ON...
2018-01-11 00:47:00	CNNW	49	CNNW_20180111_000000_Erin_Burnett_OutFront/start/2820	WH MAKES CORRECTION IN TRANSCRIPT OF TRUMP'S REMARKS. . Rep. John Garamendi (D) California\nWHITE HOUSE MAKES CORRECTION IN TRANSCRIPT AFI'ER. LEAVING OUT KEY WORDS FROM TRUMP'S REMARKS\nYALE PSYCHIATRIST WARNS MEMBERS OF...
2018-01-11 00:47:00	FOXNEWSW	36	FOXNEWSW_20180111_000000_The_Story_With_Martha_MacCallum/start/2820	> CHARLES HURT | THE WASHINGTON TIMES. . CLASSIC TV, FILMS UNDER FRESH SCRUTINY. IN wma: nl: :HMFTnn MnVFMFNT _\nCLASSIC TV, FILMS UNDER FRESH SCRUTINY. IN wma: nl: \ufb02MFTnn MnVFMFNT \u20197;
2018-01-11 00:47:00	MSNBCW	36	MSNBCW_20180111_000000_Hardball_With_Chris_Matthews/start/2820	TRUMP VOWS \"STRONG LOOK\" AT. \"DISGPACFFUI I v\" WFAK I IRFI I AWS\nTRUMP RISKS ALIENATING BASE WITH. sorer STANCF ON IMMIGRATION pI=I=OpM\n18 GOP LAWMAKERS WILL NOT SEEK RE-ELECT ION IN 2O18
2018-01-11 00:49:00	CNNW	23	CNNW_20180111_000000_Erin_Burnett_OutFront/start/2940	YALE PSYCHIATRIST BRIEFING MEMBERS OF CONGRESS ON TRUMP MENTAL HEALTH. . Rep. John Garamendi (D) Briefed by Dr. Bandy Lee today on Trump's mental health\nYALE PSYCHIATRIST WARNS MEMBERS OF CONGRESS. ABOUT PRESIDENT'S MENTAL FITNESS: \"VERY UNSTABLE\"\nTRUMP'S COAL PLAYBOOK FOLLOWS COAL...
2018-01-11 00:49:00	FOXNEWSW	7	FOXNEWSW_20180111_000000_The_Story_With_Martha_MacCallum/start/2940	. lipoflavonoid.com/6Odays
2018-01-11 00:50:00	CNNW	34	CNNW_20180111_000000_Erin_Burnett_OutFront/start/3000	TRUMP'S COAL PLAYBOOK FOLLOWS COAL CEO'S WISHLIST\nMINE CLOSING WIPES OUT MANY OF TRUMP'S COAL JOB GAINS
2018-01-11 00:50:00	MSNBCW	16	MSNBCW_20180111_000000_Hardball_With_Chris_Matthews/start/3000	OPRAH ENTHUSIASM HAS DEMS BUZZING ABOUT 2O2O
2018-01-11 00:51:00	CNNW	31	CNNW_20180111_000000_Erin_Burnett_OutFront/start/3060	COAL MINER ON TRUMP: \"I CAN'T THANK HIM PERSONALLY ENOUGH\"\nTRUMP'S COAL PLAYBOOK FOLLOWS COAL CEO'S WISHLIST\nCOAL MINER ON TRUMP: \"I CAN'T THANK HIM PERSONALLY ENOUGH\". . Sandv Blankenship...
2018-01-11 00:52:00	FOXNEWSW	14	FOXNEWSW_20180111_000000_The_Story_With_Martha_MacCallum/start/3120	RASMUSSEN REPORTS. . JANUARY 3-9. \u201c 1,OOO 11.3. LIKELY VOTERS; MOI +/- 5% .. . W
2018-01-11 00:53:00	CNNW	57	CNNW_20180111_000000_Erin_Burnett_OutFront/start/3180	TRUMP CLAIMS HE SAVED COAL IN WEST VIRGINIA (DID HE?)\nTRUMP CLAIMS HE SAVED COAL IN WEST VIRGINIA DID HE?. . Martin Savidqe U\\I\\I Correspondent
2018-01-11 00:53:00	MSNBCW	29	MSNBCW_20180111_000000_Hardball_With_Chris_Matthews/start/3180	*TELL ME SOMETHING\nTELL ME SOMETHING\nFMR. REP. DONNA EDWARDS ' (D) MARYLAND
2018-01-11 00:54:00	CNNW	5	CNNW_20180111_000000_Erin_Burnett_OutFront/start/3240	TRUMP CLAIMS HE SAVED COAL IN WEST VIRGINIA (DID HE?)
2018-01-11 00:54:00	FOXNEWSW	30	FOXNEWSW_20180111_000000_The_Story_With_Martha_MacCallum/start/3240	PRAH VS TRUMP: WINFREY LEADS BY 1O IN POLL. . :-\nARL ROVE ON 2O18 MIDTERM ELECTIONS. . :-
